kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
Semoga fasilitas ruangannya semakin bagus,fasilitas ruang bagus,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
akses ke ruangan pelatihan kurang mudah,akses ruang latih kurang mudah,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
"Kritik : Ruangan yang saya gunakan tidak memiliki remot ac, sehingga temperatur dari ac tidak dapat di atur.
 Saran : saran saya semoga fasilitasnya lebih di tingkatkan",ruang tidak milik remot ac temperatur ac tidak atur fasilitas lebih tingkat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,3
Perbarui Kursi dan PC,baru kursi pc,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Saran saya, semoga kedepannya kegiatan VSGA atau yang lainnya di adakan di dalam satu lingkungan.",depan giat vsga adakan lingkung,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Fasilitas listrik kurang memadai,fasilitas listrik kurang pada,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-2,bermakna,1
saran disediakan colokan untuk peserta,sedia colok serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
LCD kurang bagus,lcd kurang bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Jaringan kurang bagus,jaring kurang bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Kalau bisa disediakan wifi, dulu hari pertama ada pas pake kabel LAN yg ada di lab, tapi hari2 berikutnya sudah tidak bisa",sedia wifi pas pakai kabel lan lab tidak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
Mohon memilih lokasi yang tersedia sumber internet dengan baik,pilih lokasi sedia sumber internet baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Jaringannya kurang bagus dan wifinya,jaring kurang bagus wifinya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Perlu perhatikan proyektor nya agar tidak buram sehingga memudahkan dalam memahami penjelasan saat presentasi,perhati proyektor tidak buram mudah paham jelas presentasi,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",negatif,-3,bermakna,2
Baiknya ruangan yang lebih bagus lagi semisal kursi agar peserta lebih nyaman mengaplikasikan laptop dan ruangannya sangat jelek untuk jaringan,baik ruang lebih bagus kursi serta lebih nyaman aplikasi laptop ruang sangat jelek jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Jaringan yang kurang bagus,jaring kurang bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
sinyal yang lambat,sinyal lambat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Wifi,wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
"Ruangan terlalu terang seperti jendela yg terbuka terlalu terang,sehingga menyulitkan penglihatan ketika LCD di nyalakan.",ruang terang jendela buka terangsehingga sulit lihat lcd nyala,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
"Proyektor sempat mati. Barangkali disebabkan oleh pendeteksi otomatis input pada proyektor (tebakan awam) saat tidak ada input dari source yg masuk. 
 
 Kondisi tsb sempat membuat bingung, termasuk instruktur bahkan asesor.
 
 Saran, jika dianggap perlu untuk diketuhui pengguna proyektor, sebaiknya ditempeli kode warna di Proyektor tersebut, yang bisa memahamkan pengguna terkait lampu indikator ON, OFF, atau Standby, supaya bisa segera ditagani.",proyektor mati barangkali sebab deteksi otomatis input proyektor tebak awam tidak input source masuk kondisi bingung instruktur asesor anggap tuhu guna proyektor tempel kode warna proyektor paham guna kait lampu indikator on off standby tagan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,3
Ada beberapa kursi yang sudah tidak layak pakai mungkin kedepannya bisa ditukarkan dengan yang masih bagus,kursi tidak layak pakai depan tukar bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
saran untuk menyediakan colokan yang lebih,sedia colok lebih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Sulit jaringan,sulit jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Ngga ada,tidak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,tidak bermakna,1
colokan nya sangat minim dan tidak tersedia wifi,colok sangat minim tidak sedia wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Next pelatihan bisa pakai fasilitas kampus yang dipakai,latih pakai fasilitas kampus pakai,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"Sebaiknya menyediakan fasilitas yang memadai seperti wifi/kualitas jaringan yang bagus dikarenakan sulit untuk mengakses internet selama pelatihan, sedangkan ada beberapa referensi yang harus di download",sedia fasilitas pada wifikualitas jaring bagus sulit akses internet latih referensi download,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,1
Tampilan slide kurang jelas,tampil slide kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Jaringan,jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,tidak bermakna,0
Jaringan kurang memadai,jaring kurang pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Sudah baik, silahkan lebih dikontrol lagi orang-orang yang keluar masuk selain peserta pelatihan dan panitia karena sedikit mengganggu.",baik silah lebih kontrol orangorang masuk serta latih panitia ganggu,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,0
ruangan lumayan nyaman tapi karena mejanya terdapat komputer jadi kita susah memperhatikan pemateri,ruang nyaman meja komputer susah perhati materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Perbanyak colokan,banyak colok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Fasilitas lumayan,fasilitas,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,tidak bermakna,0
"Ruangannya bagus dan nyaman, apalagi kursinyaa 😍 diperbanyak aja kursi yg nyaman biar bisa nyaman juga duduknya. Kalau bisa lebih lama lagi durasi pelatihannya agar tidak buruburu",ruang bagus nyaman kursinyaa banyak kursi nyaman nyaman duduk lebih durasi latih tidak buruburu,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,0
"Tidak mendapatkan ATK seperti pada pelatihan tahun lalu, uang saku juga lebih sedikit dari tahun lalu, ruang kelas kurang tinggi lantainya",tidak atk latih uang saku lebih ruang kelas kurang lantai,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,3
"Untuk kursinya kurang memadai, dan jaringan",kursi kurang pada jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Mungkin terkait fasilitas colokan yang masih perlu ditambahkan di dalam kelas,kait fasilitas colok kelas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
wifi tidak ada,wifi tidak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
jaringan mohon di perbagus,jaring bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
kurang wifi hehe,kurang wifi he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Akses internet dan Listrik kurang memadai,akses internet listrik kurang pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Jaringan tidak memadai,jaring tidak pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ruangan yang memiliki stop kontak yang banyak,ruang milik henti kontak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
di pertahankan dan ditingkatkan,tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Tempat duduk bikin kita harus miringkan bdan buat interaksi dengan oemateri,duduk bikin miring bdan interaksi oemateri,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Colokan Kurang,colok kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ditingkatkan lagi,,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Jaringan kurang,jaring kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Sebaiknya pilih ruangan yang baik koneksi jaringannya,pilih ruang baik koneksi jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Tidak tersedianya wifi yang memadai dikelas,tidak sedia wifi pada kelas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Akses jaringan dan internet sangat susah,akses jaring internet sangat susah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Jaringan kurang bagus,jaring kurang bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Lcd nya kurang memadai,lcd kurang pada,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Proyektornya lebih di perhatikan lagi,proyektor lebih perhati,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Ac nya diperbaiki supaya kelas lebih dingin,ac kelas lebih dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
Ruangan nyaman tapi karena tidak ada nya terminal atau colokan sehingga peserta membawa secara pribadi,ruang nyaman tidak terminal colok serta bawa pribadi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Diberi Wifi saat pelatihan,wifi latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"Bagus, cuma pc yang tidak dipakai sedikit menghalangi ruang gerak",bagus pc tidak pakai halang ruang gerak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,1
Jaringannya kurang memadai jadi terkendala dalam menggunakan internet.,jaring kurang pada kendala internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Colokan banyak rusak, jaringan teramat lalot, dan proyektor kurang terlihat tampilan nya",colok rusak jaring amat lalot proyektor kurang tampil,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
Kursinya tolong untuk lebih baik lagi,kursi lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Pintunya terlalu berisik jadi mengganggu fokus,pintu berisik ganggu fokus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Mungkin pada Wifi atau jaringan yang terkadang susah di hubungkan,wifi jaring terkadang susah hubung,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Kedepannya diharapkan menyediakan ruangan yang sesuai dengan jumlah peserta,depan harap sedia ruang sesuai serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
colokan,colok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
PROYEKTOR AGAK BURAM SEHINGGA YANG DUDUK DI BELAKANG KURANG JELASS,proyektor buram duduk kurang jelass,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Fasilitas pada saat pemaparan materi pelatihan diperhatikan lagi!!,fasilitas papar materi latih perhati,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Pintunya bunyi bunyi,pintu bunyi bunyi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Ruangan yg bagus, tapi semoga nanti bisa di akses wifinya, supaya mudah juga peserta searching atau ambil data di internet",ruang bagus akses wifinya mudah serta searching ambil data internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Tidak ada jaringannya,tidak jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Pelatihan letter u kurang efisien,latih letter kurang efisien,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
tolong untuk diberikan password wifi kepada peserta pelatihan,password wifi serta latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
LCD kurang Baik,lcd kurang baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
AC nya dingin banget bikin flu saran kasih rendah rendah mi SUHU nya,ac dingin bikin flu rendah rendah mi suhu,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-3,bermakna,1
Agar alat visualisasinya dapat ditingkatkan,alat visualisasi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Semoga di kegiatan selanjutnya lokasi pelatihannya yang baik jaringannya,giat lokasi latih baik jaring,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Tolong kedepannya agar memilih lokasi yang tepat dan bisa terhubung dengan jaringan internet,depan pilih lokasi hubung jaring internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Fasilitas perlu ditingkatkan lagi,fasilitas,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,tidak bermakna,0
"Yang baik, sebaiknya ditingkatkan lagi kedepannya.",baik depan,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
Untuk ketersediaan device mungkin bisa diadakan bagi peserta,sedia device serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Acnya terlalu dingin membuat aku sakit kemarin kak,mohon maaf sebelumnya😭😭😭",ac dingin sakit kemarin kakmohon maaf,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
Saran semoga pelatihan selanjutnya bisa dipercepat,latih cepat,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"Jaringan tidak memadai hari pertama jaringan kabel LAN nya berfungsi, namun pada hari ke 2 dan seterusnya, jaringan LAN nya sudah tidak berfungsi lagi, mohon untuk menyiapkan jaringannya juga, karena daerahnya yg kurang memadai jika jaringan seluler",jaring tidak pada jaring kabel lan fungsi jaring lan tidak fungsi jaring daerah kurang pada jaring seluler,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,5
Perbanyak kelas,banyak kelas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
keterbatasan stopkontak,batas stopkontak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Smoga kdepannya tmpat nya bsa lbih baik,smoga kdepannya tmpat lbih baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Kurangnya colokan,kurang colok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Mungkin dapat di sedikan akses internet,dik akses internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Saran fasilitasnya kurang wifi,fasilitas kurang wifi,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
Ruangannya biasanya full tempat duduknya dan terkadang juga monoton,ruang full duduk terkadang monoton,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Semoga next pelatihan ruangan nya bisa lebih nyaman dan kondusif.,latih ruang lebih nyaman kondusif,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Untuk proyektornya mungkin bisa di persiapkan lebih baik lagi agar peserta dan pengajar nyaman dalam proses ajar mengajar dan untuk yang lain pengajar juga tidak ngebosanin. jempol berapi,proyektor siap lebih baik serta ajar nyaman proses ajar ajar ajar tidak ngebosanin jempol rap,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,5,bermakna,0
Mungkin kegiatan selanjutnya bisa di lakukan di ruangan/lingkungan yang support jaringannya terimakasih 🙏🏻,giat laku ruanganlingkungan support jaring,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Lebih di perhatikan untuk sarana utama dalam pembelajarannya seperti lcd,lebih perhati sarana utama ajar lcd,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Sebaiknya untuk pemilihan ruangan diusahakan yang dapat memfasilitasi jaringan internet yang lancar untuk membantu peserta mencari dan mengakses materi yang dibutuhkan,pilih ruang usaha fasilitas jaring internet lancar bantu serta cari akses materi butuh,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
