komentar bermakna,klaster,sentimen,makna
Model kursi lebih di perhatikannlagi,7,positif,bermakna
Untuk fasilitas pelatihan diberikan Wifi agar mempermudah dalam mendapatkan materi yang lebih banyak,4,positif,bermakna
Pertahankan kenyamanan ruangannya agar peserta nyaman,7,positif,bermakna
"Proyektor hari ke 2 dan ke 3 kurang nyaman.
 Saran, siapkan ruangan dengan proyektor yang lebih siap dan memadai kegiatan.",7,netral,bermakna
"Ruangan sudah bagus, luas dan bersih, tetapi peraturan meja dan kursi masih kurang karena terlalu berdekatan, jadi mungkin meja dan kursi di dalam kelas harus di atur sesuai jumlah peserta yang ikut.",7,netral,bermakna
Proyektor kurang baik suka disconnect sangat mengganggu proses pembelajaran,3,negatif,bermakna
Bisa di tambahkan coffee break,7,positif,bermakna
"Sudah mantap, mungkin sedikit perbaikan di posisi duduk dan lcd yg agak kurang efektif selebihnya sangat baik",3,positif,bermakna
"Saran, Semoga kedepannya di sediakan wifi supaya pelatihannya berjalan lebih baik lagi",1,positif,bermakna
Sekiranya menyediakan colokan,7,positif,bermakna
"Saran dari saya untuk ruangan kelasnya, ac nya sebaiknya dingin karena kelas yang saya tempati untuk pelatihan panas dan membuat saya kurang fokus apabila keadaan kelasnya panas, mohon maaf apabila ada salah kata 🙏🏻",7,negatif,bermakna
Menyediakan terminal colokan yang memadai dan jaringan wifi yang dapat diakses peserta,7,positif,bermakna
"Kritik: walaupun ruangan terlihat bersih dan nyaman tapi pendinginan didalam kurang maksimal dikarenakan AC yang kurang menghembuskan hawa dingin
 
 Saran : untuk AC buat ruangan B VSGA JGD tolong dibersihkan atau di repair dikarenakan seperti nya pendinginan nya tidak berfungsi secara maksimal",6,negatif,bermakna
"Tolong min, nextnya klo bisa ruangannya disediakan wifi. Klo pun gabisa wifi, paling tidak jaringan seluler cukup baik untuk hotspot. Agar pada saat penguploadan tugas dsb lebih cepat. Dan juga susunan kursi yang tidak begitu sempit",7,negatif,bermakna
"Selama mengikuti pelatihan saya sangat puas dengan kelengkapan fasilitas ruangan, mulai dari kursi dan lainnya. Selain itu ruangan yang ditempati untuk pelatihan sangat bersih, dan nyaman, hanya saja sempat satu hari pelatihan ruangannya agak sedikit panas, dikarenakan ACnya kurang dingin.",4,negatif,bermakna
Ruangannya terlalu dingin dan kursinya terlalu kecil,6,negatif,bermakna
Untuk peletakan proyektor nya terbatas sehingga untuk melihat ke screen proyektor terlalu kecil,7,negatif,bermakna
"Komputernya ada, cuman tidak bisa digunakan",7,negatif,bermakna
Semoga lebih baik kedepannya lagi 😁,1,positif,bermakna
"Kritik : ruangan panas karena ac yang bermasalah
 Saran : saran dan prasarana lebih di perhatikan sebelum menggunakan ruangan",7,negatif,bermakna
Ringan berada di pantai 4,7,positif,bermakna
alangkah baiknya lebih menyediakan banyak colokan,7,positif,bermakna
Proyektor kurang besar,7,negatif,bermakna
"di kelas G03, pada awal masuk kelas papan tulisnya masih ada tulisan. dan juga pada terminal listriknya tidak ada aliran listriknya. semoga bisa diatasi oleh pihak yang berwenang",7,negatif,bermakna
Ruangan dan Fasilitasnya suda memuaskan cuman saran mungkin baiknya lagi jika ada fasilitas untuk akses ke wifi supaya memudahkan untuk terhubung ke internet,4,netral,bermakna
Ruangan Panas,7,negatif,bermakna
"untuk ruangan dan fasilitas pelatihan sudah memadai mulai dari suasananya yang nyaman & bersih serta prasarana yang lengkap, hanya saja ada beberapa colokan kabel yang tidak layak(berfungsi).",4,netral,bermakna
Lebih ontime dalam pelaksanaan kegiatan,7,positif,bermakna
Mohon tempat pelatihannya di daerah Kabupaten Gowa dan sekitarnya🙏🏻,4,netral,bermakna
Kalau bisa disediakan fasilitas wifi,4,positif,bermakna
"Ruang kelas sudah mumpuni , tetapi kalau bisa menggunakan ruangan yang lebih besar",7,negatif,bermakna
"terlalu banyak anak tangga yang saya lalui sebisanya yang mudah di jangkau, tolong adakan lagi coffe breaknya",7,netral,bermakna
AC bisa lebih dingin/ditambah kalau boleh🙏,7,positif,bermakna
Mantap dan semoga bisa di dingin kan AC lagi,6,positif,bermakna
Sebaiknya ruanganya dilengkapi dengan komputer agar peserta tidak membawa lagi,7,netral,bermakna
Dari pendapat saya mungkin perlunya diperhatikan fasilitas untuk wifi agar mempermudah untuk melakukan sesuatu yg sifatnya online,4,netral,bermakna
Jaringan di area sekitar kurang memadai dan kalau bisa di beri akses untuk jaringan kampus,7,positif,bermakna
"Fasilitas pelatihan bagusnya ditingkatkan misal akses internet untuk peserta, dan fasilitas pendukung praktikum.",4,positif,bermakna
"Sudah sangat baik, hanya mungkin bisa diatur pendinginan lebih merata lagi. Terima kasih",3,positif,bermakna
Saran Sebaiknya kelasnya tidak berubah-ubah setiap hari,7,negatif,bermakna
Klau bisa ruangannya di tetapkan di satu tempat saja mulai dari hari pertama sampai terakhir. Karena setiap hati cari ruangan itu rasanya lumayan membuang waktu dan tenaga,7,negatif,bermakna
Perlunya diadakan lebih banyak colokan,7,positif,bermakna
Sebaiknya rutin melakukan pengecekan pada LCD setiap ruangan,7,negatif,bermakna
"Kritik : Fasilitas peralatan serta alat² yang dibutuhkan untuk menunjang pembelajaran seperti kabel colokan, proyektor hingga kabel hdmi hrs sdh ada. Saran : Semoga kedepan panitia memperhatikan Fasilitas² sblm fimulainya pembelajaran, karena jika fasilitas/alat blm disediakan lalu pembelajaran sdh dimulai, waktu akan molor menunggu alat yg kurang/blm disediakan oleh panitia. Sehingga ketika semuanya sdh disiapkan, maka ketika msk proses pembelajaran akan lbh optimal",7,positif,bermakna
Pengaturan ac nya terlalu dingin,6,netral,bermakna
Tolong diberikan petunjuk jalan untuk ke ruang kelas bagi yang mengikuti pelatihan,4,negatif,bermakna
fasilitas ruangan kelas UNHAS melebihi fasilitas ruangan kelas yang ada di kampus sendiri,4,negatif,bermakna
Mungkin kursi masih belum terbiasa untuk digunakan,7,netral,bermakna
Penyedian colokan untuk terminal colokan,7,negatif,bermakna
menurut saya hanya kurang internet wifi,7,negatif,bermakna
Kurangnya kabel colokan,7,negatif,bermakna
saya rasa semuanya sudah memadai terutama dengan AC kelas yang sangat sehingga kami tidak kepanasan pada saat di ruangan,7,negatif,bermakna
Cuman jaringan yg sulit terjangkau,7,netral,bermakna
Semoga fasilitas jaringan wifi lebih memadai,4,positif,bermakna
Ruangan itu susah masuk jaringan,7,negatif,bermakna
"Semoga di pelatihan berikutnya jika masih di ruangan yang sama, kami harap akan ada wifi dikarenakan jaringan di dalam ruangan tersebut tidak bagus sehingga banyak diantara kami terhambat untuk pengisian absensi, pendaftara lpsdigital, dan lain-lain.",4,negatif,bermakna
Kekurangan colokan listrik,7,negatif,bermakna
Semoga suhu ruangannya bisa lebih diperhatikan lagi,7,netral,bermakna
"Untuk fasilitas ruangan sudah sangat baik yah, cuman akses jaringan di ruangan kurang mendukung",4,negatif,bermakna
"Untuk ruangan dan fasilitas aman, mungkin terkadang perlu lebih tepat waktu lagi. Terima kasih",4,positif,bermakna
Jaringan kurang memadai,7,negatif,bermakna
"saya rasa lebih kritik ke teman teman peserta ketika selesai makan ataupun minum, mohon sekali untuk sampahnya di buang ke tempat yang telah di sediakan, bukan malah di atas meja kerjanya, termasuk anak UIN itu sndiri :)",7,netral,bermakna
Mungkin lebih ke persiapan LCD karna kabel hdmi yang di gunakan kadang mati jadi sedikit terganggu dalam pembelajaran,7,positif,bermakna
Saran di sediakan colokan setiap ruangan,7,netral,bermakna
Sediakan wifi agar mudah mengaupload file yg di perintahkan untuk di kerja dan dikumpulkan,7,positif,bermakna
Ruangan pelatihan nyaman digunakan akan tetapi terdapat beberapa stopkontak yang tidak berfungsi sehingga peserta harus membawa sopkontak sendiri.,4,netral,bermakna
"Fasilitas yang disediakan di ruangan sudah sangat baik dan cukup nyaman, tapi alangkah lebih baik jika disediakan jaringan Wifi untuk memudahkan transfer/pengiriman file",4,positif,bermakna
Tetap memperrahankan kenyamanan ruangan dan fasilitas,4,netral,bermakna
"Menurut saya tidak ada,hanya saja pintu kelas terasa keras untuk digunakan",7,negatif,bermakna
ac nya kurang hehe,6,negatif,bermakna
Ruang pelatihan kurang bersih dan fasilitas kurang memadai seperti ac tdk berfungsi dengan baik,4,negatif,bermakna
memilih ruangan yg bersih dan nyaman agar peserta merasa nyaman dalam mengikuti pelatihan,4,netral,bermakna
Sediakan fasilitas wifi,4,positif,bermakna
Ruang kelas sangat panas kalau siang karena kelasnya cuma ada 1 AC. Untungnya hari ke-3 dan 4 sudah ada kipas angin.,7,negatif,bermakna
Pengeras suara yang kurang,7,negatif,bermakna
Mungkin jumlah siswanya bisa sedikit dikurangi agar tidak terlalu desak didalam ruangan,7,negatif,bermakna
terlalu dingin jangan terlalu cuci ac,6,netral,bermakna
Tingkatkan dan pertahankan lagi,7,positif,bermakna
Mohon untuk disediakan wifi agar peserta pelatihan lebih nyaman saat melakukan pelatihan dikarenakan ada beberapa hal kegiatan pelatihan yang membutuhkan jaringan internet,4,positif,bermakna
"Saran saya terkait ruangan dan fasilitas pelatihan, mungkin bisa tempat duduk nya lebih ke meja dan kursi. Karena terlalu sulit jika kursi nya terdapat meja.",4,positif,bermakna
untuk kritik dan saran terkait ruangan ng ada krna smua fasilitas sangat memadai,4,negatif,bermakna
kabel hdmi kadang bermasalah dan selebihnya sangat memuaskan,7,positif,bermakna
"ruang kelas nyaman dan aman, tapi kurang bersih",7,negatif,bermakna
"Semoga Ruangan dan Fasilitas tetap seperti ini, atau bahkan lebih baik lagi",4,netral,bermakna
"Ruangan sudah bagus, cuman kekurangan tempat buat charger terus di bagian nampilin gambar dari proyektor sebaiknya ada kain/kertas agar gambar yang di tampilkan ke dinding lebih baik",7,negatif,bermakna
Konsisten 1 ruangan sj agar mempermudah peserta.. fasilitas mantap,4,positif,bermakna
Butuh proyektor yg lebih besar dengan banyaknya jumlah peserta,7,positif,bermakna
Terima kasih kominfo sudah melaksanakan pelatihan yg luar biasa ini,4,netral,bermakna
"Saran saya, lokasi pelatihannya dipusatkan satu tempat saja.",4,positif,bermakna
kurangnya kursi di ruangan pelatihan yang membuat teman teman harus menempati kursi yg berbeda,7,negatif,bermakna
teralu dingin,6,netral,bermakna
Diperhatikan lagi kebersihannya,7,netral,bermakna
Kondisikan ac agar tidak terlalu dingin saya keseringan buang air kecil karena dingin,6,negatif,bermakna
AC nya terlalu dingin,6,netral,bermakna
Semoga kedepannya jauh lebih baik lagi,1,positif,bermakna
"Untuk dari saya sudah lebih dari cukup, tinggal dipertahankan kedepannya",1,positif,bermakna
Lebih memperhatikan kebersihan ruangan sebelum digunakan. Saran untuk pelatihan selanjutnya kegiatan dimulai sesuai jadwal.,4,positif,bermakna
Ac nya terlalu dingin,6,netral,bermakna
ruangan agak hangat karena ac tidak dinyalakan,7,negatif,bermakna
Kurang dingin,6,negatif,bermakna
"Tempatnya sangat nyaman & bersih, tapi ada 1 stop kontak yang tidak terkoneksi aliran listrik (tetapi tidak jadi masalah), semoga kedepannya fasilitas nya bisa konsisten bahkan lebih ditingkatkan🙏🏼",7,negatif,bermakna
Pelatihannya di tempatkan di 1 lokasi,4,negatif,bermakna
Ruangannya sangat dingin,6,negatif,bermakna
"Untuk saran dari ruangan dan fasilitas nya sudah sangat enak. Tapi terkait di masalah fasilitas kursi nya, menurut saya lebih bagus jika fasilitas pembelajaran nya itu meja dan kursi agar lebih leluasa.",4,positif,bermakna
Ruangan dan Fasilitas sangat baik. Ke depannya semoga tidak berubah dan semakin lebih baik.,3,negatif,bermakna
Saran saya seharusnya ruangan yang di gunakan untuk pelatihan okm menggunakan meja yg lebar agar tidak sempit,4,negatif,bermakna
harapan saya ke depan nya jaringan lebih stabil,7,positif,bermakna
kurangkan suhu ruangan supaya peserta tidak gampang mengantuk,7,negatif,bermakna
"Fasilitas nya dan ruangnya memadai, karena hampir semuanya sudah lengkap.",4,negatif,bermakna
"Ruangan sudah sangat bagus, untuk saran lebih ke colokan yang kurang",7,negatif,bermakna
Fasilitas sangat bagus dan nyaman terlalu sempurna untuk di kritik saran saya lain kali pelatihannya boleh disini lagi,4,positif,bermakna
Mikrofon mic kurang jelas,7,negatif,bermakna
Pengarahan ruangan Yang akan dipake mohon di infokan sehari sebelum pelaksanaan,7,negatif,bermakna
Dalam kegiatan nya semuanya bagus semoga kedepannya lebih baik lagi dan tempatnya nyaman seperti di Fikom umi,1,positif,bermakna
Semuanya sudah bagus. Cuman lokasinya dari tempat tinggal kami lumayan jauhh sehingga mengambil waktu lama diperjalanan,7,negatif,bermakna
Cukup bersih dan rapih tapi mungkin bisa lebih baik,1,positif,bermakna
memutar musik santai saat mengerjakan soal,7,positif,bermakna
Semua fasilitas dan ruangan sudah sangat baik,3,negatif,bermakna
Selama masa pelatihan saya rasa fasilitas sudah sangat memadai untuk melakukan proses pelatihan,4,netral,bermakna
"Untuk ruangan dan fasilitas sudah cukup baik, tetapi saat hari ketiga dimana peserta akan mempresentasikan hasil projek yang di berikan oleh mentor/pengajar kabel hdmi yang di sediakan sedikit bermasalah sehingga koneksi antara laptop dan proyektor tidak stabil dan membutuhkan waktu agar bisa menghubungkannya. Saran untuk kedepannya mungkin alat seperti kabel hdmi atau semacamnya bisa di cek terlebih dahulu.",7,negatif,bermakna
terkait ruangan dan fasilitas pelatihan memadai,4,negatif,bermakna
AC diruangan terlalu dingin 🥶,6,negatif,bermakna
Untuk ruangan mungkin hanya ingin di tambahkan terminal karena masih banyak peserta yang tidak tau harus membawa terminal selain dari itu fasilitas untuk ruangan sudah sangat bagus menurut saya,4,negatif,bermakna
Untuk pencahayaan ruangan mngkn lbh terang lagi,7,negatif,bermakna
"Pelatihan menggunakan Laptop selama beberapa jam yang mengharuskan kita untuk mengisi daya perangkat yang digunakan, tetapi colokan listrik terbatas sehingga beberapa peserta harus membawa colokan ganda pada saat pelatihan",4,negatif,bermakna
Untuk ruangannya saya biasa bingun jika dipidahkan,4,negatif,bermakna
Ruangannya bersih dan tertata rapi.,7,negatif,bermakna
Saran wc di tambahkan,7,positif,bermakna
Kurangnya fasilitas untuk charge krn bnyk stop kontak yg tdk bisa digunakan.,7,negatif,bermakna
Menurut saya fasilitas nya sudah lebih dari cukup dan sangat nyaman untuk ditempati pelatihan. Saran saya semoga kedepannya bisa lebih bagus lagi.,4,positif,bermakna
"Sangat menyenangkan mengikuti pelatihan, tapi harapan saya agar di sediakan wifi atau jaringan agar lebih memudahkan dalam mengakses internet. 
 Terimakasih",4,positif,bermakna
Penemoran ruangannya lebih teliti lagi,7,netral,bermakna
Ac nya terlalu dingin,6,netral,bermakna
"Mungkin suhu AC nya di turunkan sedikit karena terlalu dingin , dan soal ruangan pelatihannya sangat keren dan nyaman",6,netral,bermakna
Alangkah lebih baik untuk mempermudah peserta jika lokasi pelatihan tidak berubah dari awal hingga penutupan.,1,netral,bermakna
Tetap mempertahankan fasilitas pelatihan,4,netral,bermakna
Ac-nya terlalu dingin,6,netral,bermakna
Penempatan kursi yang terlalu mepet,7,negatif,bermakna
"ruangan dan fasilitas pelatihan sudah sangat baik, dan semoga meningkatkan pelatihan menjadi lebih optimal.",4,positif,bermakna
Perlu colokan atau sumber listrik yg baik setiap ruangan,7,negatif,bermakna
sebaiknya menggunakan ruangan yang tetap agar peserta tidak kebingungan cari ruangan,7,negatif,bermakna
ruangan pelatihan beberapa kali pindah² jadi agak untuk menemukan tapi so far so good karna panitianya ramah untuk selalu mengarahkan,4,positif,bermakna
Masih ada beberapa meja yang goyang,7,negatif,bermakna
Mungkin soal ACnya yang dimana ada ruangan yang terlalu dingin membuat beberapa peserta mengeluh kedinginan,6,netral,bermakna
kurang sarana akses internet,7,netral,bermakna
"Saran agar ruangan tidak pindah terus, terima kasih vsga atas ilmu dan pengalaman yang di berikan selama beberapa hari ini :)",7,negatif,bermakna
Saran saya untuk tempat pelatihannya yaitu ada pada tempat ibadah (moshollah) lebih baik tempat wudhu perempuannya di tutupi agar lebih aman untuk ambil wudhu.,1,positif,bermakna
AC terlalu dingin,6,netral,bermakna
"jauh, kursi kurang nyaman",7,netral,bermakna
"Semua yang difasilitasi sangat lengkap dan baik, Tapi saya Selalu Tersesat:( karena kurang petunjuk ruangan",4,negatif,bermakna
Kurangnya terminal dan akses jaringan gratis,7,positif,bermakna
Sediakan banyak colokan,7,positif,bermakna
Semoga SMK Telkom Makassar bisa selalu menjadi venue atau tempat lokasi pelatihan,4,netral,bermakna
Munkin bisa di perbanyak pelatihan - pelatihan seperti ini,4,netral,bermakna
Ruangan dan fasilitas pelatihan menurut saya sudah sangat baik,4,negatif,bermakna
Saran tetap jaga kebersihan dalam ruangan dan fasilitas yang ada dirawat dengan baik,4,negatif,bermakna
Nggk ad yang kurang si kak cuma lokasinya agak jauh tapi ini udah cukup,7,negatif,bermakna
"Saran terkait ruangan dan fasilitas lebih meningkatkan pada fasilitas pendukung yaitu LCD, screen proyektor.",4,positif,bermakna
AC nya dikurangi dikit karena terlalu dingin,6,negatif,bermakna
Bisa ditambah lgi haru pelatihannya🥰,4,positif,bermakna
Tambah sedikit uang saku jya,7,netral,bermakna
Fasilitas dan ruangan oke,4,negatif,bermakna
Harus lebih detail lagi yaa. Tapi kerenn,1,positif,bermakna
"Semoga fasilitas dilengkapi demi kenyamanan peserta, kalau bisa minimal fasilitas universitas Muslim Indonesia",4,positif,bermakna
sangat nyaman untuk ditempati dan ac nya dingin.ruangannya juga bersih dan nyaman,7,positif,bermakna
